D505,123,10,D5061,8,16
D5061,7,17,D505,122,11
D5061,7,10,D5066,91,43
D5061,14,16,D5066,34,11
D5061,14,10,D5064,34,76
D5061,33,10,D5064,65,75
D5061,40,16,D5064,8,11
D5061,33,17,D5066,65,71
D5061,40,10,D5062,9,77
D5061,59,10,D5062,39,15
D5061,66,16,D5062,85,12
D5061,59,17,D5064,39,71
D5061,66,10,D5069,84,76
D5061,84,11,D5069,13,43
D5061,91,17,D5069,60,11
D5061,84,18,D5062,14,72
D5061,91,11,D5067,60,76
D5061,7,38,D5066,65,43
D5061,14,44,D5066,8,39
D5061,7,45,D5068,65,11
D5061,14,38,D5064,8,16
D5061,33,38,D5064,39,75
D5061,40,44,D5064,86,39
D5061,33,45,D5066,39,11
D5061,40,38,D5062,85,17
D5061,59,38,D5062,13,15
D5061,66,44,D5062,60,39
D5061,59,45,D5064,13,11
D5061,66,38,D5069,60,16
D5061,85,38,D5069,91,43
D5061,92,44,D5069,34,39
D5061,85,45,D5062,90,12
D5061,92,38,D5067,34,16
D5061,8,71,D5066,39,43
D5061,15,17,D5066,84,71
D5061,8,78,D5068,39,39
D5061,15,71,D5064,86,44
D5061,33,70,D5064,14,76
D5061,40,76,D5064,60,71
D5061,33,77,D5066,13,39
D5061,40,70,D5062,60,44
D5061,59,70,D5062,90,16
D5061,66,76,D5062,34,71
D5061,59,77,D5064,91,39
D5061,66,70,D5069,34,44
D5061,83,70,D5069,65,43
D5061,90,76,D5069,9,72
D5061,83,77,D5062,65,39
D5061,90,70,D5067,8,44
D5062,7,10,D5064,89,75
D5062,14,16,D71604,34,39
D5062,7,17,D5066,90,12
D5062,14,10,D5062,34,16
D5062,33,10,D5062,65,15
D5062,40,16,D5062,8,39
D5062,33,17,D5064,65,11
D5062,40,10,D5069,8,16
D5062,59,10,D5069,39,43
D5062,66,16,D5069,86,39
D5062,59,17,D5062,39,11
D5062,66,10,D5067,85,17
D5062,84,11,D5067,14,76
D5062,91,17,D5067,60,39
D5062,84,18,D5069,13,11
D5062,91,11,D5065,60,16
D5062,14,44,D5064,9,72
D5062,7,38,D5064,65,75
D5062,7,45,D5066,65,39
D5062,14,38,D5062,8,44
D5062,33,38,D5062,39,15
D5062,40,44,D5062,84,71
D5062,33,45,D5064,39,39
D5062,40,38,D5069,86,44
D5062,59,38,D5069,13,43
D5062,66,44,D5069,60,71
D5062,59,45,D5062,13,39
D5062,92,44,D5067,34,71
D5062,66,38,D5067,60,44
D5062,85,38,D5067,89,75
D5062,85,45,D5069,91,39
D5062,92,38,D5065,34,44
D5062,8,71,D5064,39,75
D5062,15,77,D5064,85,12
D5062,33,70,D5062,13,15
D5062,40,76,D5062,60,11
D5062,33,77,D5064,14,72
D5062,40,70,D5069,60,76
D5062,59,70,D5069,91,43
D5062,66,76,D5069,34,11
D5062,59,77,D5062,89,71
D5062,66,70,D5067,34,76
D5062,83,70,D5067,65,75
D5062,90,76,D5067,8,11
D5062,83,77,D5069,65,71
D5062,90,70,D5065,9,77
D5062,8,78,D5066,39,71
D5062,15,71,D5062,84,76
D5063,7,10,D5062,90,16
D5063,14,16,D5062,34,71
D5063,7,17,D5064,91,39
D5063,14,10,D5069,34,44
D5063,33,10,D5069,65,43
D5063,40,16,D5069,9,72
D5063,33,17,D5062,65,39
D5063,66,16,D5067,84,71
D5063,40,10,D5067,8,44
D5063,59,10,D5067,39,75
D5063,59,17,D5069,39,39
D5063,66,10,D5065,86,44
D5063,84,11,D5065,13,15
D5063,91,17,D5065,60,71
D5063,84,18,D5067,13,39
D5063,91,11,D5063,60,44
D5063,7,38,D5062,65,15
D5063,14,44,D5062,8,11
D5063,7,45,D5064,65,71
D5063,14,38,D5069,9,77
D5063,33,38,D5069,39,43
D5063,40,44,D5069,85,12
D5063,33,45,D5062,39,71
D5063,40,38,D5067,84,76
D5063,59,38,D5067,14,76
D5063,66,44,D5067,60,11
D5063,59,45,D5069,14,72
D5063,92,44,D5065,34,11
D5063,66,38,D5065,60,76
D5063,85,38,D5065,90,16
D5063,85,45,D5067,89,71
D5063,92,38,D5063,34,76
D5063,8,71,D5062,39,15
D5063,15,77,D5062,86,39
D5063,8,78,D5064,39,11
D5063,15,71,D5069,85,17
D5063,33,70,D5069,13,43
D5063,40,76,D5069,60,39
D5063,33,77,D5062,13,11
D5063,40,70,D5067,60,16
D5063,59,70,D5067,89,75
D5063,66,76,D5067,34,39
D5063,59,77,D5069,90,12
D5063,66,70,D5065,34,16
D5063,83,70,D5065,65,15
D5063,90,76,D5065,8,39
D5063,83,77,D5067,65,11
D5063,90,70,D5063,8,16
D5064,7,10,D5069,91,43
D5064,14,16,D5069,34,11
D5064,7,38,D5069,65,43
D5064,14,44,D5069,8,39
D5064,15,77,D5069,84,71
D5064,8,71,D5069,39,43
D5064,33,17,D5069,65,71
D5064,33,45,D5069,39,11
D5064,33,77,D5069,13,39
D5064,40,16,D5067,8,11
D5064,33,10,D5067,65,75
D5064,40,16,D5067,8,11
D5064,14,38,D5067,8,16
D5064,33,38,D5067,39,75
D5064,40,44,D5067,86,39
D5064,15,71,D5067,86,44
D5064,33,70,D5067,14,76
D5064,40,76,D5067,60,71
D5064,59,17,D5067,39,71
D5064,59,45,D5067,13,11
D5064,59,77,D5067,91,39
D5064,40,10,D5065,9,77
