基础剑术    Fencing
精神力战法  SpiritSword
攻杀剑术    Slaying
刺杀剑术    Thrusting
半月弯刀    HalfMoon
烈火剑法    FlamingSword
野蛮冲撞    ShoulderDash
火球术      Fireball
大火球      GreatFireBal
治愈术      Healing
施毒术      Poisoning
诱惑之光    Eshock
爆裂火焰    FireBang
心灵启示    Revelation
群体治愈术  MassHealing
圣言术      TurnUndead
冰咆哮      IceStorm
抗拒火环    Repulsion
召唤骷髅    SummonSkele
隐身术      Hiding
瞬息移动    Teleport
火墙        FireWall
地狱雷光    ThunderStorm
召唤神兽    SummonShinsu
魔法        MagicShield
地狱火      Hellfire
疾光电影    Lightning
雷电术      ThunderBolt
灵魂火符    SoulFireBall
集体隐身术  MassHiding
幽灵盾      SoulShield
神圣战甲术  BlessedArmou
困魔咒      TrapHexagon
